# ws,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9 # first row is center of energy bin
8.745627186406796927e-01,3.733189305951914450e-01,4.849286236966246499e-04,1.221099385937603126e-09,5.935975091628186048e-18,5.570489058307650083e-29,1.009147729179448290e-42,3.529200524146085624e-59,2.382638136626596881e-78,3.105274583490375474e-100,7.812717023481028724e-125
8.995502248875560936e-01,3.896608680132956359e-01,5.475947489403398556e-04,1.490894245964289104e-09,7.836104304062595436e-18,7.950853732498434648e-29,1.557354514202274749e-42,5.888726363995578214e-59,4.298485124363413383e-78,6.057168402636507544e-100,1.647722356239124338e-124
9.245377311344327165e-01,4.063572304308923355e-01,6.177568884328039000e-04,1.818523748847532678e-09,1.033438541972872637e-17,1.133732276074852645e-28,2.401024175670681581e-42,9.816184695429175616e-59,7.747276844429998063e-78,1.180363022505316986e-99,3.471700740804637132e-124
9.495252373813092284e-01,4.233875969316129306e-01,6.962298442880820787e-04,2.215988113272749579e-09,1.361587039747401290e-17,1.615041050016537741e-28,3.698127565632282875e-42,1.634708709315685844e-58,1.394951251889264396e-77,2.297935590302528467e-99,7.307634846736080309e-124
9.745127436281858513e-01,4.407299042440660508e-01,7.839065291738162152e-04,2.697690892729722958e-09,1.792183487129304724e-17,2.298438714506051693e-28,5.690409896370144454e-42,2.719658283676022078e-58,2.509257867683934961e-77,4.469268178943326782e-99,1.536695084716768705e-123
9.995002498750623632e-01,4.583604463685402308e-01,8.817641847350174812e-04,3.280901970056529109e-09,2.356654094055574871e-17,3.267823556684070553e-28,8.747451075339679983e-42,4.520272443426370894e-58,4.509286882841098184e-77,8.683829487857943227e-99,3.228307345544830931e-123
1.024487756121938986e+00,4.762538836059155845e-01,9.908709500791488493e-04,3.986305984714065440e-09,3.095889996595146543e-17,4.641523762010995382e-28,1.343370482371750133e-41,7.505699806892065780e-58,8.095557204815590419e-77,1.685630835291875900e-98,6.775453273413263759e-123
1.049475262368815498e+00,4.943832612676831717e-01,1.112392783556220800e-03,4.838651210053531663e-09,4.063043834221107067e-17,6.586259912955016315e-28,2.061039849239525945e-41,1.245070886863042512e-57,1.451984344565324979e-76,3.268812088154939084e-98,1.420620714218516939e-122
1.074462768615692010e+00,5.127200382895595876e-01,1.247600738922452490e-03,5.867516394338444716e-09,5.327136225277154284e-17,9.336701200178584735e-28,3.159026609900002645e-41,2.063351765597970181e-57,2.601677312152658632e-76,6.332770529948728260e-98,2.975734905516884167e-122
1.099450274862568744e+00,5.312341259111124092e-01,1.397878594553235388e-03,7.108215964346049001e-09,6.977701804436333230e-17,1.322282845526773151e-27,4.837227216021957255e-41,3.416085859979044173e-57,4.657160804966973499e-76,1.225670845321260775e-97,6.227111525075108968e-122
1.124437781109445256e+00,5.498939365204764673e-01,1.564730831658722645e-03,8.602867319777342566e-09,9.130768183661175735e-17,1.870818151967154932e-27,7.399732142919727319e-41,5.650157961896768663e-57,8.328472304321094324e-76,2.369901348890542816e-97,1.301833240488420018e-121
1.149425287356321768e+00,5.686664426970047259e-01,1.749790954443477793e-03,1.040164778343271847e-08,1.193654215307184123e-16,2.644326605106367133e-27,1.130867749943058661e-40,9.336169107601828218e-57,1.487941189192837493e-75,4.577865077083780544e-97,2.718944715643113846e-121
1.174412793603198280e+00,5.875172464160134389e-01,1.954830141831139130e-03,1.256427318714357042e-08,1.558928021055358169e-16,3.734005231760811512e-27,1.726569031132127912e-40,1.541179194825672963e-56,2.655721285132319225e-75,8.834297436640351305e-97,5.673116550593650204e-121
1.199400299850074791e+00,6.064106583091352087e-01,2.181766216740368622e-03,1.516173514664511871e-08,2.033995083270450781e-16,5.267579001746146254e-27,2.633494300368619508e-40,2.541639046197662298e-56,4.735387580426706583e-75,1.703167470796779333e-96,1.182549538282869245e-120
1.224387806096951525e+00,6.253097868017061245e-01,2.432672914944924818e-03,1.827833989958804497e-08,2.651246097558782810e-16,7.423752790099386031e-27,4.012888813492118246e-40,4.187462376437353553e-56,8.435384344144557860e-75,3.280341048743076587e-96,2.462596669869674150e-120
1.249375312343828037e+00,6.441766368756430827e-01,2.709789431277899452e-03,2.201409825018242659e-08,3.452442815398267900e-16,1.045230931577822312e-26,6.108831959877582559e-40,6.892301550392659270e-56,1.501172250756827070e-74,6.311854098410593724e-96,5.123226314621838310e-120
1.274362818590704549e+00,6.629722181330075514e-01,3.015530216350028377e-03,2.648752379391853745e-08,4.491374340870550270e-16,1.470203029352742128e-26,9.290424087116017182e-40,1.133323595535849023e-55,2.668901148324979068e-74,1.213308422320552959e-95,1.064805049812111676e-119
1.299350324837581061e+00,6.816566617625114954e-01,3.352494992049801815e-03,3.183890531180160683e-08,5.837250369403276693e-16,2.065944647216955748e-26,1.411527056713497482e-39,1.861743727418902860e-55,4.740353805641678666e-74,2.330031440894898313e-95,2.210919709986696993e-119
1.324337831084457795e+00,7.001893459392406482e-01,3.723478948888890756e-03,3.823412916525827359e-08,7.579031240096281054e-16,2.900256156889119691e-26,2.142491875200678663e-39,3.055358503284492732e-55,8.411342826798256438e-74,4.470217541667613781e-95,4.586191116170634168e-119
1.349325337331334085e+00,7.185290291174865063e-01,4.131483082763086345e-03,4.586913884554202663e-08,9.830947597334802834e-16,4.067526037106752927e-26,3.248818639074767642e-39,5.009342894730586772e-55,1.491063774518760210e-73,8.567849784692202526e-95,9.504026403805273736e-119
1.374312843578210819e+00,7.366339906084550249e-01,4.579724622935715458e-03,5.497513170722894799e-08,1.273952904248692417e-15,5.699025942571001118e-26,4.921619796424918961e-39,8.204944607268044028e-55,2.640604822997976795e-73,1.640557047994612407e-94,1.967611842217701628e-118
1.399300349825087553e+00,7.544621777693931719e-01,5.071647497038634517e-03,6.582460753474298971e-08,1.649254483394011833e-15,7.977140372458090372e-26,7.448468086034748573e-39,1.342600653718636176e-54,4.671828732439656692e-73,3.138247115631186842e-94,4.069560688123101459e-118
1.424287856071963843e+00,7.719713590690064908e-01,5.610932772656116937e-03,7.873840016407152116e-08,2.133036473193445309e-15,1.115501459435427334e-25,1.126165374032802177e-38,2.194797027259702040e-54,8.257464638353857335e-73,5.997347972819215147e-94,8.408759650112600531e-118
1.449275362318840576e+00,7.891192822365395987e-01,6.201509008639550895e-03,9.409384214053317316e-08,2.756037978675706935e-15,1.558365623512733965e-25,1.701036712648039982e-38,3.584414127527581552e-54,1.458084992221171317e-72,1.145005744119646330e-93,1.735771914089106884e-117
1.474262868565717088e+00,8.058638366491703842e-01,6.847562442737542554e-03,1.123342335921201057e-07,3.557528781571949980e-15,2.174927998324692227e-25,2.566856037020767288e-38,5.848147336097817596e-54,2.572143920869436371e-72,2.183898203601009268e-93,3.579560300449272769e-117
1.499250374812593600e+00,8.221632190650233207e-01,7.553546935460125553e-03,1.339798104154835953e-07,4.587625466243064915e-15,3.032471422504297751e-25,3.869596172573944710e-38,9.532234961776291311e-54,4.532982044749672643e-72,4.161342144321902347e-93,7.374677224874902869e-117
1.524237881059470112e+00,8.379761017676100598e-01,8.324193583378103334e-03,1.596404338128792565e-07,5.910222017833342694e-15,4.224009222070899936e-25,5.827819414759006803e-38,1.552199288996516629e-53,7.980848017028654558e-72,7.921560924057875541e-93,1.517863294918278058e-116
1.549225387306346846e+00,8.532618021524511764e-01,9.164519908345753960e-03,1.900302535158585823e-07,7.606693969564888612e-15,5.877996276861491342e-25,8.768450106365724985e-38,2.525088067548863699e-53,1.403752006733582781e-71,1.506483629283762721e-92,3.121034785691431514e-116
1.574212893553223136e+00,8.679804527583576679e-01,1.007983852249010222e-02,2.259846310464129385e-07,9.780575298985232329e-15,8.171655769159869989e-25,1.318001463279786340e-37,4.103759368188378398e-53,2.466652938253898467e-71,2.862163075759112938e-92,6.411222768710973762e-116
1.599200399800099870e+00,8.820931707248244047e-01,1.107576516229952755e-02,2.684796474905559245e-07,1.256345723742922827e-14,1.134924911488974449e-24,1.979179836549388086e-37,6.662903951735216410e-53,4.330140755875453524e-71,5.432511330561731932e-92,1.315707752932074399e-115
1.624187906046976604e+00,8.955622256434822015e-01,1.215822597884367272e-02,3.186545629163266907e-07,1.612242030548260985e-14,1.574709697742928172e-24,2.969141746697179244e-37,1.080740748517801674e-52,7.594029637924576068e-71,1.030109079299151565e-91,2.697455620791927904e-115
1.649175412293853116e+00,9.083512047658605093e-01,1.333346396514511860e-02,3.778376422141363049e-07,2.066938810207707228e-14,2.182781093377658112e-24,4.449927269706976554e-37,1.751280888679404056e-52,1.330512226691787597e-70,1.951381113506070572e-91,5.524913600730737940e-115
1.674162918540729406e+00,9.204251745319933509e-01,1.460804439608302113e-02,4.475758152622195904e-07,2.647288719788459754e-14,3.022707842522001519e-24,6.662714477842503403e-37,2.835087050131035894e-52,2.328851304367397151e-70,3.692982823962010726e-91,1.130506286018445060e-114
1.699150424787606140e+00,9.317508373947832601e-01,1.598885915103144539e-02,5.296686984477852838e-07,3.387281626208264282e-14,4.181753897207448861e-24,9.966112844191941627e-37,4.585147343529977256e-52,4.072311195480302532e-70,6.982143755356881207e-91,2.310983157133063429e-114
1.724137931034482651e+00,9.422966829335546191e-01,1.748312978481212851e-02,6.262075702646094598e-07,4.329897461424337348e-14,5.779590598214209152e-24,1.489281196337846076e-36,7.408264886190229810e-52,7.114042651183620364e-70,1.318792877209959746e-90,4.719509744419143600e-114
1.749125437281359385e+00,9.520331322768303961e-01,1.909840920856854460e-02,7.396199665533828080e-07,5.529428226431497374e-14,7.980167179056096312e-24,2.223329959060167183e-36,1.195793026886986089e-51,1.241561620379116025e-69,2.488517547941346226e-90,9.628825186380315678e-114
1.774112943528235675e+00,9.609326748889353009e-01,2.084258183894584573e-02,8.727206415803482681e-07,7.054384816120694121e-14,1.100786795675027573e-23,3.315945943854063095e-36,1.928287734744360840e-51,2.164693442702285913e-69,4.691169557183694513e-90,1.962573927856067772e-113
1.799100449775112187e+00,9.689699968173710598e-01,2.272386207158978363e-02,1.028769730223501813e-06,8.991132055739385058e-14,1.516948166199345125e-23,4.940686211643608391e-36,3.106447149037293362e-51,3.770516383503745238e-69,8.834823164482764370e-90,3.996272147952018313e-113
1.824087956021988921e+00,9.761220995477258855e-01,2.475079093355719156e-02,1.211539044746218591e-06,1.144842949969740036e-13,2.088404302482567523e-23,7.354335030193628845e-36,4.999567171405537789e-51,6.561174236931729401e-69,1.662229173131394217e-89,8.129435608011968330e-113
1.849075462268865433e+00,9.823684086698353246e-01,2.693223076886629153e-02,1.425387547707631417e-06,1.456309759247119305e-13,2.872332586664495689e-23,1.093643703197556959e-35,8.038539575998994466e-51,1.140613789599662313e-68,3.124354087698225371e-89,1.652121727412700817e-112
1.874062968515742167e+00,9.876908716225658580e-01,2.927735781220226416e-02,1.675347161235306760e-06,1.850708049071471468e-13,3.946673317138474756e-23,1.624742763026560869e-35,1.291213948476681228e-50,1.980942969865280976e-68,5.866862398550027063e-89,3.354285293981023162e-112
1.899050474762618457e+00,9.920740438544436435e-01,3.179565250783234626e-02,1.967220202938694830e-06,2.349624033564143426e-13,5.417562642962746368e-23,2.411402316055821688e-35,2.072027769978924572e-50,3.437016647167873951e-68,1.100595836682685407e-88,6.803529334201516093e-112
1.924037981009495191e+00,9.955051628128458452e-01,3.449688743417129305e-02,2.307689880958749050e-06,2.980129564266230532e-13,7.429387522818405672e-23,3.575452759277966664e-35,3.321767582920888217e-50,5.957548776291993690e-68,2.062652829942319557e-88,1.378620820895457517e-111
1.949025487256371703e+00,9.979742092549838128e-01,3.739111269925202846e-02,2.704445435828247514e-06,3.776141188923776533e-13,1.017837366559178854e-22,5.296252999627914582e-35,5.320092966010949412e-50,1.031644069454092655e-67,3.861897265035036482e-88,2.790819269238375076e-111
1.974012993503248437e+00,9.994739554587528385e-01,4.048863867869122862e-02,3.166323685760984054e-06,4.780106914264135070e-13,1.393092894361301727e-22,7.837593046929692150e-35,8.512272311879864723e-50,1.784713353838259944e-67,7.223565313847957310e-88,5.644102610490147730e-111
1.999000499750124726e+00,1.000000000000000000e+00,4.380001597565631732e-02,3.703468915492169543e-06,6.045097428372309019e-13,1.904838111275106735e-22,1.158705329799509207e-34,1.360655255934792740e-49,3.084490014057337597e-67,1.349829140410823072e-87,1.140340100039154741e-110
2.023988005997001238e+00,9.995507888540861030e-01,4.733601249191195931e-02,4.327513247640459349e-06,7.637395961300216772e-13,2.602030449139507383e-22,1.711353027947554294e-34,2.172836293515736738e-49,5.325673920806738369e-67,2.519894178759733508e-87,2.301707858614490647e-110
2.048975512243877972e+00,9.981276226730209089e-01,5.110758751029486485e-02,5.051779850507216909e-06,9.639702207852254978e-13,3.550937147200308228e-22,2.525122889443597809e-34,3.466428271935726729e-49,9.186330869099130696e-67,4.699613201238283333e-87,4.641328552678891075e-110
2.073963018490754706e+00,9.957346501841082276e-01,5.512586270198279598e-02,5.891511567988100751e-06,1.215509161176891954e-12,4.841165215004360542e-22,3.722217424412733410e-34,5.524764081581501142e-49,1.583018182679023752e-66,8.756251660031156169e-87,9.349981093842663641e-110
2.098950524737630996e+00,9.923788477511212847e-01,5.940208998670047646e-02,6.864127806502673739e-06,1.531190278716095188e-12,6.593759931439587734e-22,5.481472820756690605e-34,8.796736131855501269e-49,2.725248008650116038e-66,1.629861356741404502e-86,1.881721993446210017e-109
2.123938030984507286e+00,9.880699852337213596e-01,6.394761619056330004e-02,7.989512781139243748e-06,1.926976409775860673e-12,8.972070266712885952e-22,8.064345025574134679e-34,1.399283459795649595e-48,4.687081085739041247e-66,3.030814798033491786e-86,3.783349802072349825e-109
2.148925537231384020e+00,9.828205783742878232e-01,6.877384446457790457e-02,9.290338509057782522e-06,2.422701682684905652e-12,1.219631154043500376e-21,1.185269867826499049e-33,2.223648532788698109e-48,8.053324720008605595e-66,5.630467334272346291e-86,7.599304410723352454e-109
2.173913043478260754e+00,9.766458280327565689e-01,7.389219244688147170e-02,1.079242624297852921e-05,3.042984862721658560e-12,1.656306326262559738e-21,1.740370428383918975e-33,3.530229144611324871e-48,1.382369880689211839e-65,1.044974747302082931e-85,1.524921523162001622e-108
2.198900549725137488e+00,9.695635466786409751e-01,7.931404717355190759e-02,1.252515036155454462e-05,3.818351904670218590e-12,2.247134771938980076e-21,2.552950857108451950e-33,5.599070758001261884e-48,2.370552745090868431e-65,1.937507783410751795e-85,3.057014191373993190e-108
2.223888055972014222e+00,9.615940726344155420e-01,8.505071676619770094e-02,1.452188907666680256e-05,4.786614127751009550e-12,3.045747437385429496e-21,3.741274058923076318e-33,8.871668874380500639e-48,4.061171138018977807e-65,3.588867497515700996e-85,6.122428521937246073e-108
2.248875562218890511e+00,9.527601726451098152e-01,9.111337894944736282e-02,1.682052668009399222e-05,5.994558373533425461e-12,4.124154846390683638e-21,5.477380337700481729e-33,1.404335905680814242e-47,6.950711572828894889e-65,6.641217457463880825e-85,1.224972390566427478e-107
2.273863068465766801e+00,9.430869334246447799e-01,9.751302647779452881e-02,1.946401243326815878e-05,7.500017504470570681e-12,5.578948426464498159e-21,8.011292386076611675e-33,2.220818078018180909e-47,1.188457215591861136e-64,1.227762276809341907e-84,2.448528622888310852e-107
2.298850574712643535e+00,9.326016428995019814e-01,1.042604095788760843e-01,2.250098160336716727e-05,9.374404054366255128e-12,7.539560637618332121e-21,1.170600147083996318e-32,3.508579134416012427e-47,2.030084635254623393e-64,2.267551598134017150e-84,4.889454152606461464e-107
2.323838080959520269e+00,9.213336619341847555e-01,1.113659755490196412e-01,2.598644456595952031e-05,1.170580723415596506e-11,1.017925603727398050e-20,1.708798579895397519e-32,5.537654760718155964e-47,3.464344279741080360e-64,4.183852632797779565e-84,9.754205011986540231e-107
2.348825587206396559e+00,9.093142873801138837e-01,1.188398056666050001e-01,2.998255032763420724e-05,1.460277439854391544e-11,1.372974104598474720e-20,2.492008289256393070e-32,8.731659367926372903e-47,5.906147019507908592e-64,7.712086427547809725e-84,1.944015343868018325e-106
2.373813093453273293e+00,8.965766073396544966e-01,1.266915496192430601e-01,3.455943126998922232e-05,1.819892316880883623e-11,1.850056373894271604e-20,3.630650121722125775e-32,1.375447447015452179e-46,1.005920757982284931e-63,1.420181022433048021e-83,3.870649138014830934e-106
2.398800599700149583e+00,8.831553495795551045e-01,1.349303576717589548e-01,3.979613637709357443e-05,2.265856048625669646e-11,2.490484747344410686e-20,5.284399261821620843e-32,2.164549521107906026e-46,1.711589427229864417e-63,2.612713745327020490e-83,7.699175707695749574e-106
2.423788105947026317e+00,8.690867240628757928e-01,1.435648108332397144e-01,4.578166067972731768e-05,2.818352088692434890e-11,3.349339092942626282e-20,7.683925680359402135e-32,3.403042389543609476e-46,2.909455560262956096e-63,4.801934847536357955e-83,1.529963128051433899e-105
2.448775612193903051e+00,8.544082605953443599e-01,1.526028493126821151e-01,5.261607912849922998e-05,3.502147935947793397e-11,4.499980779398899177e-20,1.116212794352202733e-31,5.344948187780569402e-46,4.940832932913745525e-63,8.816922117570375094e-83,3.037344171376481212e-105
2.473763118440779341e+00,8.391586426008075250e-01,1.620516995838047203e-01,6.041179359101580648e-05,4.347604559269209173e-11,6.040021814972776438e-20,1.619896044162594059e-31,8.386793473108279057e-46,8.382333162774341907e-63,1.617312912526965365e-82,6.023977702351859146e-105
2.498750624687656074e+00,8.233775380510629516e-01,1.719178004100396229e-01,6.929490215170487990e-05,5.391900778731244085e-11,8.099210073959454830e-20,2.348570500563766859e-31,1.314694074505418063e-45,1.420711760311104157e-62,2.963789884345101965e-82,1.193573075273882479e-104
2.523738130934532808e+00,8.071054285778641590e-01,1.822067282103011499e-01,7.940670037220690384e-05,6.680516732209129152e-11,1.084983486460722428e-19,3.401702791513126372e-31,2.058874006292684209e-45,2.405599588382297930e-62,5.425966111357289021e-82,2.362604240962005846e-104
2.548725637181409098e+00,7.903834377893874663e-01,1.929231221745183189e-01,9.090532464030011374e-05,8.269029256404852867e-11,1.452044415590825177e-19,4.922270080005313156e-31,3.221151443154677157e-45,4.069274755434784469e-62,9.923915339018850275e-82,4.672069054129542868e-104
2.573713143428285388e+00,7.732531598001699535e-01,2.040706095647684959e-01,1.039675481903285420e-04,1.022528235046817394e-10,1.941390864529126183e-19,7.115588430832081554e-31,5.034644672653135586e-45,6.876809530545261391e-62,1.813281924688641377e-81,9.230045355606145013e-104
